,years,periods,paths,urls
36,2012,q1,amzn_sec_q1_2012.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/73cc1eea-33c5-4ba8-ae3d-b00b87a1f32a.pdf
37,2012,q2,amzn_sec_q2_2012.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/a4dfaac8-257d-4056-89db-839911ddd2c5.pdf
38,2012,q3,amzn_sec_q3_2012.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/fe79de43-8321-4614-aeba-b2c523383033.pdf
39,2011,q1,amzn_sec_q1_2011.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/f934c9a6-1279-4ce6-808a-3e6175405252.pdf
40,2011,q2,amzn_sec_q2_2011.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/55ca95a4-1c7d-4b41-a5ac-c0b3a2556b8c.pdf
41,2011,q3,amzn_sec_q3_2011.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/b4789c13-e00a-41ea-a656-54b37f3e65b1.pdf
42,2010,q1,amzn_sec_q1_2010.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/bc9dd350-fd20-4895-81ca-3670086adbf5.pdf
43,2010,q2,amzn_sec_q2_2010.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/65bb7963-3b52-4174-9f57-ce3ff2c1c292.pdf
44,2010,q3,amzn_sec_q3_2010.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/5be05c12-b03f-4e54-b73f-eca52b7fd255.pdf
45,2009,q1,amzn_sec_q1_2009.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/0ca31a5e-b89e-4507-950a-60a7db39bfe3.pdf
46,2009,q2,amzn_sec_q2_2009.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/199fda51-c22e-4411-8a70-51904f3be6ad.pdf
47,2009,q3,amzn_sec_q3_2009.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/f89ab4c2-c572-46ef-9d75-2f3354a51c86.pdf
48,2008,q1,amzn_sec_q1_2008.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/1c4ea823-139d-4ae4-b8fd-22131491b96d.pdf
49,2008,q2,amzn_sec_q2_2008.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/a1d81dfb-efe9-4da3-b808-aca61c218822.pdf
50,2008,q3,amzn_sec_q3_2008.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/5b4679af-cd11-4a79-bcce-b3a490dab32e.pdf
51,2007,q1,amzn_sec_q1_2007.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/bb1e5e1a-ff0f-478b-a81b-176699fbf655.pdf
52,2007,q2,amzn_sec_q2_2007.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/872c04e8-1f8f-404d-b36a-dc551d463c30.pdf
53,2007,q3,amzn_sec_q3_2007.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/a0730940-8765-4010-af00-ee14502d1831.pdf
54,2006,q1,amzn_sec_q1_2006.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/2066242a-a143-4511-8fad-914720cc99fd.pdf
55,2006,q2,amzn_sec_q2_2006.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/c8cd767d-a492-4792-9984-4fc73c9ae756.pdf
56,2006,q3,amzn_sec_q3_2006.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/62619aef-30b5-4dae-861d-42055d318696.pdf
